namaproduk,harga,daerah,kamar,toilet,carport,luastanah,luasbangunan
"Rumah Bagus SHM di Sayap Dago, Bandung","Rp 42,5 Miliar","Sayap Dago, Bandung",4,6,1,1221 m²,900 m²
Rumah Dibawah NJOP Taman Depan Belakang di Suryalaya,Rp 6 Miliar,"Buah Batu, Bandung",5,4,7,779 m²,255 m²
"Jual Kosan Baru 3 Lantai Di Jatinangor Dekat Kampus Itb, Unpad","Rp 5,7 Miliar","Jatinangor, Bandung",29,29,1,200 m²,650 m²
Hunian terbaik harga irit,Rp 550 Juta,"Taman Kopo Indah, Bandung",3,2,0,120 m²,80 m²
Rumah Mewah Klasik siap huni Rumah di Komplek Alam Kanayakan Bagus,Rp 55 Miliar,"Sayap Dago, Bandung",5,5,2,4000 m²,1700 m²
Rumah Baru Minimalis Modern Rumah di Batununggal Bandung,"Rp 7,5 Miliar","Batununggal, Bandung",4,4,2,300 m²,400 m²
Rumah Modern Luxury + Swiming Pool Area Buah Batu,"Rp 4,7 Miliar","Buah Batu, Bandung",4,3,1,356 m²,772 m²
Ruko Braga,Rp 27 Miliar,"Braga, Bandung",4,1,0,700 m²,800 m²
"Kost an aktif 3 lantai 15 kt 15 km, akses jl 2 mobil, income 169,2 jt/th","Rp 2,5 Miliar","Asia Afrika, Bandung",15,15,1,126 m²,300 m²
"Tubagus Ismail, Dago, Itb Unpad. Rumah Baru Di Bandung Utara",Rp 22 Miliar,"Dago, Bandung",4,4,8,1000 m²,517 m²
Harga di Bawah Pasaran Rumah 2 Lantai di Setra Duta Bandung,"Rp 3,5 Miliar","Setra Duta, Bandung",4,4,3,163 m²,210 m²
Rumah Design Modern di Setra Duta Hegarmanah Bandung,"Rp 2,55 Miliar","Setra Duta, Bandung",3,3,1,105 m²,156 m²
Rumah minimalis di taman holis indah 2  cepat,"Rp 2,2 Miliar","Holis Cigondewah, Bandung",3,2,2,190 m²,180 m²
Rumah Trofical American Classic D Setiabudi Regency Bandung Utara,"Rp 5,88 Miliar","Setiabudi, Bandung",5,4,4,664 m²,555 m²
"Rumah 2 Lantai Baru di Margahayu Raya, Bandung","Rp 1,45 Miliar","Buah Batu, Bandung",3,3,2,102 m²,110 m²
Jual Rumah Bagus 2 Lantai BARU RENOV di Mekar Wangi - Bandung,"Rp 2,75 Miliar","Mekar Wangi, Bandung",3,2,1,123 m²,200 m²
Last Unit Rumah Baru 2 Lantai Cisaranten Arcamanik Kota Bandung,Rp 985 Juta,"Arcamanik, Bandung",3,2,0,95 m²,95 m²
Rumah Murah Siap Huni Puri Dago Mas Antapani Kota Bandung,"Rp 1,25 Miliar","Antapani, Bandung",3,2,0,137 m²,90 m²
"Rumah Sayap Dago Bandung, Lingkungan Asri","Rp 52,5 Miliar","Dago, Bandung",14,14,0,1400 m²,600 m²
Rumah Kostan Terawat di Sayap Pasteur Bandung,"Rp 1,5 Miliar","Pasteur, Bandung",13,13,0,130 m²,200 m²
Rumah Suasana Asri Siap Huni Fullset Tanpa Renovasi Strategis,Rp 225 Juta,"Bandung Kota, Bandung",2,1,1,65 m²,45 m²
Hunian Mewah Dengan Spesifikasi Berkualitas Siap Huni Di Bandung,Rp 650 Juta,"Cibaduyut, Bandung",3,3,2,140 m²,130 m²
Rumah Siap Huni Full Furnish Mewah,Rp 650 Juta,"Bandung Kota, Bandung",3,3,1,140 m²,130 m²
Jarang ada! Rumah baru Minimalis mantap harga wajar di Taman Mekar Utama,"Rp 2,65 Miliar","Mekar Wangi, Bandung",3,3,1,100 m²,150 m²
cepat Rumah Luasan besar harga wajar di BTD 2 - Kota Baru Baru Parahyangan,"Rp 6,5 Miliar","Kota Baru Parahyangan, Bandung",4,4,2,392 m²,336 m²
Rumah Di Bandung Tanpa Riba Akses Strategis,Rp 250 Juta,"Soreang, Bandung",4,2,2,120 m²,70 m²
